Feature,Importance
tempo,0.1552290235646372
energy,0.13120020296999255
acousticness,0.12241968787519847
loudness,0.10440745254593305
valence,0.09931541020461956
instrumentalness,0.09422956486230803
liveness,0.07046814557331019
speechiness,0.06728090640896893
danceability,0.05384984647838307
mode,0.037334900286039155
key_2,0.022018695455168068
key_9,0.008112954069725235
key_0,0.00797997123159431
key_7,0.0062844246098347585
key_11,0.00502388056597216
key_8,0.004540272622148416
key_1,0.0028730347699016485
key_4,0.00266443212115028
key_5,0.002435769667201252
key_10,0.0011261232881804144
key_6,0.0008547892017341959
key_3,0.0003505116279988984
