Feature,Coefficient,abs_coef
key_2,1.2290731491716587,1.2290731491716587
mode,-1.0053430986821854,1.0053430986821854
key_11,-0.944233759682036,0.944233759682036
key_0,0.908927040310059,0.908927040310059
key_8,-0.7830692543543167,0.7830692543543167
key_10,-0.7707341505846087,0.7707341505846087
energy,-0.6982651151184375,0.6982651151184375
loudness,0.6607371225918592,0.6607371225918592
tempo,0.5196220413483217,0.5196220413483217
key_4,0.5103442322409951,0.5103442322409951
danceability,0.3605138004810372,0.3605138004810372
acousticness,-0.35780975585098856,0.35780975585098856
key_1,-0.34835386921281364,0.34835386921281364
key_9,0.3439957803326453,0.3439957803326453
liveness,-0.2917302833213206,0.2917302833213206
key_6,-0.28201356160665203,0.28201356160665203
key_3,0.2497111180375325,0.2497111180375325
valence,-0.18977169007847058,0.18977169007847058
key_5,-0.1841817656142405,0.1841817656142405
speechiness,-0.17275368074460046,0.17275368074460046
key_7,0.07065736198439657,0.07065736198439657
instrumentalness,0.03176994966394383,0.03176994966394383
